,verse,terminacion
0,Farafangana ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Farafangana la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Farafangana de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
3,Farafangana de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
4,Farafangana entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
5,Farafangana países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
6,Farafangana contigo en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
7,Farafangana eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
8,Farafangana de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
9,Farafangana marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
10,Farafangana los composiciones,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'cio':cvV>, <'nes':cVs>]"
11,Farafangana de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
12,Farafangana de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Farafangana es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
14,Farafangana la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Farafangana s de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
16,Farafangana de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
17,Farafangana la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
18,Farafangana nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
19,Farafangana estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
20,Farafangana de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
21,Farafangana para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
