,verse,terminacion
0,Invercargill producto en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
1,Invercargill contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Invercargill carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Invercargill en el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
4,Invercargill su propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
5,Invercargill el mar se desarrolla,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'lla':ccV>]"
6,Invercargill parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
7,Invercargill alto de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
8,Invercargill problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
9,Invercargill estado a los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
10,Invercargill como la propia como,"[<'co':cV>, <'mo':cV>]"
11,Invercargill como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
12,Invercargill contra la propia contra,"[<'con':cVc>, <'tra':ccV>]"
13,Invercargill el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Invercargill el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
15,Invercargill contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Invercargill la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
17,Invercargill contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Invercargill se producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
19,Invercargill el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
20,Invercargill cambio climático está,"[<'es':Vs>, <'tá':cV>]"
21,Invercargill climático está contra,"[<'con':cVc>, <'tra':ccV>]"
22,Invercargill contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
23,Invercargill contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
24,Invercargill menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
25,Invercargill sobre la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
26,Invercargill ser en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
27,Invercargill permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
28,Invercargill contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
29,Invercargill estado contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Invercargill el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Invercargill problema de la comprar,"[<'com':cVc>, <'prar':ccVc>]"
32,Invercargill el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
33,Invercargill estado en el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
34,Invercargill contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
35,Invercargill la cual con la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,Invercargill la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
37,Invercargill estado en la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
38,Invercargill permitan para el cambio,"[<'cam':cVc>, <'bio':cvV>]"
39,Invercargill de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
40,Invercargill el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
41,Invercargill sobre la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
42,Invercargill sobre la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
43,Invercargill producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
44,Invercargill de la compra de cambio,"[<'cam':cVc>, <'bio':cvV>]"
45,Invercargill permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
46,Invercargill propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
47,Invercargill producto de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
48,Invercargill las contrabulidades,"[<'con':cVc>, <'tra':ccV>, <'bu':cv>, <'li':cv>, <'da':cV>, <'des':cVs>]"
49,Invercargill es de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
50,Invercargill parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
51,Invercargill climático es la propia,"[<'pro':ccV>, <'pia':cvV>]"
52,Invercargill la propia contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
53,Invercargill en el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
54,Invercargill estado se producir,"[<'pro':ccV>, <'du':cv>, <'cir':cvc>]"
55,Invercargill el contrado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
56,Invercargill contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
57,Invercargill medio de la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
58,Invercargill la contra el combustible,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'ble':ccV>]"
59,Invercargill es proceso de cambio,"[<'cam':cVc>, <'bio':cvV>]"
60,Invercargill la mayor actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
61,Invercargill permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
62,Invercargill a la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
63,Invercargill de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
64,Invercargill parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
65,Invercargill de las contribuciones,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'cio':cvV>, <'nes':cVs>]"
66,Invercargill capa de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
67,Invercargill la propia compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
68,Invercargill compromiso de contra,"[<'con':cVc>, <'tra':ccV>]"
69,Invercargill contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
70,Invercargill el mar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
71,Invercargill producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
72,Invercargill de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
73,Invercargill contra la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
74,Invercargill contrar la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
75,Invercargill la largo de la propia,"[<'pro':ccV>, <'pia':cvV>]"
76,Invercargill mayor posibilidad,"[<'po':cV>, <'si':sv>, <'bi':cv>, <'li':cv>, <'dad':cVc>]"
77,Invercargill el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
78,Invercargill e de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
79,Invercargill estado a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
80,Invercargill promedio de la compra,"[<'com':cVc>, <'pra':ccV>]"
81,Invercargill de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
82,Invercargill ser de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
83,Invercargill climático es un cambio,"[<'cam':cVc>, <'bio':cvV>]"
84,Invercargill contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
85,Invercargill contrado de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
86,Invercargill esta mayor producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
87,Invercargill producirá en la propia,"[<'pro':ccV>, <'pia':cvV>]"
88,Invercargill la energía en la propia,"[<'pro':ccV>, <'pia':cvV>]"
89,Invercargill e el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
90,Invercargill la capa de la compra,"[<'com':cVc>, <'pra':ccV>]"
