,verse,terminacion
0,Invercargill proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Invercargill en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Invercargill de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Invercargill ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Invercargill los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Invercargill los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Invercargill la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Invercargill as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Invercargill nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Invercargill márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Invercargill es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Invercargill de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Invercargill consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Invercargill de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Invercargill calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Invercargill las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Invercargill la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Invercargill la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Invercargill te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Invercargill de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
20,Invercargill ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
21,Invercargill es el mercado pero,"[<'pe':cV>, <'ro':cV>]"
22,Invercargill de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
23,Invercargill es de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
24,Invercargill compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
25,Invercargill carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
26,Invercargill e la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
27,Invercargill en la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Invercargill re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Invercargill el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
30,Invercargill considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
31,Invercargill lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Invercargill el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
33,Invercargill de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Invercargill en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
