,verse,terminacion
0,Kópavogur proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Kópavogur en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Kópavogur de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Kópavogur ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Kópavogur los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Kópavogur los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Kópavogur la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Kópavogur as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Kópavogur nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Kópavogur márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Kópavogur es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Kópavogur de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Kópavogur consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Kópavogur de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Kópavogur calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Kópavogur las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Kópavogur la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Kópavogur la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Kópavogur te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Kópavogur de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
