,verse,terminacion
0,Bunbury del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Bunbury aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Bunbury países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Bunbury los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Bunbury partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Bunbury de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Bunbury para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Bunbury contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Bunbury las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Bunbury de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Bunbury de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Bunbury sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Bunbury a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Bunbury un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Bunbury ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Bunbury el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Bunbury el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Bunbury contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Bunbury guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Bunbury a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Bunbury a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Bunbury la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Bunbury es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Bunbury el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
24,Bunbury diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
25,Bunbury n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
26,Bunbury me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
27,Bunbury al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
28,Bunbury los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
29,Bunbury se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
30,Bunbury especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
31,Bunbury ir el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
32,Bunbury correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
33,Bunbury para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
34,Bunbury y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
35,Bunbury la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
