,verse,terminacion
0,Mindelo del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Mindelo países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Mindelo los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Mindelo partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Mindelo de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Mindelo para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Mindelo a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Mindelo contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Mindelo las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Mindelo de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Mindelo de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Mindelo sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Mindelo es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Mindelo ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Mindelo contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Mindelo guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Mindelo la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Mindelo aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Mindelo en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Mindelo diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Mindelo a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Mindelo n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Mindelo me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Mindelo los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Mindelo se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
25,Mindelo correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
26,Mindelo para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,Mindelo y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Mindelo la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Mindelo de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
30,Mindelo de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
31,Mindelo la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
32,Mindelo en el carbón y al contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
33,Mindelo contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
34,Mindelo salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
35,Mindelo que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
36,Mindelo la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
37,Mindelo pertinente con la reda,"[<'re':cV>, <'da':cV>]"
38,Mindelo la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
39,Mindelo de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
40,Mindelo los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
41,Mindelo energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
42,Mindelo actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
43,Mindelo de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
44,Mindelo la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
45,Mindelo medio albiente con su fecha,"[<'fec':cVc>, <'ha':cV>]"
46,Mindelo los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Mindelo por el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
48,Mindelo en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
49,Mindelo la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
50,Mindelo r para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
51,Mindelo se podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
52,Mindelo y las oficinas para,"[<'pa':cV>, <'ra':cV>]"
53,Mindelo marcha de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
54,Mindelo la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
55,Mindelo con bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
56,Mindelo los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
57,Mindelo de las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
58,Mindelo la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,Mindelo decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
60,Mindelo se puede ser concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
61,Mindelo ser concentración del caso,"[<'ca':cV>, <'so':sV>]"
62,Mindelo de la tierra en contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
63,Mindelo consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
64,Mindelo concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
65,Mindelo la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
66,Mindelo que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
67,Mindelo disponibles contribuyen,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'yen':cVc>]"
68,Mindelo en el carbón en los estrenos,"[<'es':Vs>, <'tre':ccV>, <'nos':cVs>]"
69,Mindelo que están en el medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
70,Mindelo lización de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
71,Mindelo proceso de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
72,Mindelo y contención de los partes,"[<'par':cVc>, <'tes':cVs>]"
73,Mindelo la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
74,Mindelo sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
75,Mindelo en la lado de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
76,Mindelo ró el mismo de los asuntos,"[<'a':V>, <'sun':svc>, <'tos':cVs>]"
77,Mindelo la previsión de los medios,"[<'me':cV>, <'dios':cvVs>]"
78,Mindelo establecida de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
79,Mindelo de carbono e internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
80,Mindelo gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
81,Mindelo de los alternos de especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
82,Mindelo en los países de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
83,Mindelo parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
