,verse,terminacion
0,Puerto del Carmen ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Puerto del Carmen la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Puerto del Carmen de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
3,Puerto del Carmen de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
4,Puerto del Carmen esto es la respuesta,"[<'res':cVs>, <'pues':cvVs>, <'ta':cV>]"
5,Puerto del Carmen países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
6,Puerto del Carmen contigo en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
7,Puerto del Carmen en los eficientes,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'tes':cVs>]"
8,Puerto del Carmen de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
9,Puerto del Carmen marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
10,Puerto del Carmen los composiciones,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'cio':cvV>, <'nes':cVs>]"
11,Puerto del Carmen as en el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
12,Puerto del Carmen en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
13,Puerto del Carmen de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
14,Puerto del Carmen en un forzamiento,"[<'for':cVc>, <'za':cV>, <'mien':cvVc>, <'to':cV>]"
15,Puerto del Carmen de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
16,Puerto del Carmen la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
17,Puerto del Carmen s de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
18,Puerto del Carmen en el escenario,"[<'es':Vs>, <'ce':cV>, <'na':cV>, <'rio':cvV>]"
19,Puerto del Carmen de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
20,Puerto del Carmen la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
21,Puerto del Carmen el calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
22,Puerto del Carmen nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
23,Puerto del Carmen de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
24,Puerto del Carmen para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
25,Puerto del Carmen el mercado pero,"[<'pe':cV>, <'ro':cV>]"
26,Puerto del Carmen gustos de la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
27,Puerto del Carmen la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
28,Puerto del Carmen al de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
29,Puerto del Carmen de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
30,Puerto del Carmen la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
31,Puerto del Carmen la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
32,Puerto del Carmen a través de enfrentir,"[<'en':Vc>, <'fren':ccVc>, <'tir':cvc>]"
33,Puerto del Carmen que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
34,Puerto del Carmen ente se desalian,"[<'de':cV>, <'sa':sV>, <'lian':cvVc>]"
35,Puerto del Carmen cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
36,Puerto del Carmen s es un convenio,"[<'con':cVc>, <'ve':cV>, <'nio':cvV>]"
37,Puerto del Carmen de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
38,Puerto del Carmen medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
39,Puerto del Carmen la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,Puerto del Carmen del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
41,Puerto del Carmen la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Puerto del Carmen es a la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
43,Puerto del Carmen de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
44,Puerto del Carmen de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
45,Puerto del Carmen al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
46,Puerto del Carmen los actividades,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'da':cV>, <'des':cVs>]"
47,Puerto del Carmen para que se poner,"[<'po':cV>, <'ner':cVc>]"
48,Puerto del Carmen la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
49,Puerto del Carmen de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
50,Puerto del Carmen de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
51,Puerto del Carmen las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
52,Puerto del Carmen lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
53,Puerto del Carmen a la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
54,Puerto del Carmen entre la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
55,Puerto del Carmen de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
56,Puerto del Carmen que se pode para,"[<'pa':cV>, <'ra':cV>]"
57,Puerto del Carmen de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
58,Puerto del Carmen la forma de casa,"[<'ca':cV>, <'sa':sV>]"
59,Puerto del Carmen de gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
60,Puerto del Carmen desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
61,Puerto del Carmen casa de la mayor,"[<'ma':cV>, <'yor':cVc>]"
62,Puerto del Carmen en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
63,Puerto del Carmen de las principales,"[<'prin':ccvc>, <'ci':cv>, <'pa':cV>, <'les':cVs>]"
64,Puerto del Carmen del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
65,Puerto del Carmen mar de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
66,Puerto del Carmen y las oficinas,"[<'o':V>, <'fi':cv>, <'ci':cv>, <'nas':cVs>]"
67,Puerto del Carmen de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
68,Puerto del Carmen de esta incentidumbre,"[<'in':vc>, <'cen':cVc>, <'ti':cv>, <'dum':cvc>, <'bre':ccV>]"
69,Puerto del Carmen a por consumidor,"[<'con':cVc>, <'su':sv>, <'mi':cv>, <'dor':cVc>]"
70,Puerto del Carmen para estados para,"[<'pa':cV>, <'ra':cV>]"
71,Puerto del Carmen de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
72,Puerto del Carmen s son los proyectos,"[<'pro':ccV>, <'yec':cVc>, <'tos':cVs>]"
73,Puerto del Carmen se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
74,Puerto del Carmen de la contratuira,"[<'con':cVc>, <'tra':ccV>, <'tui':cvv>, <'ra':cV>]"
75,Puerto del Carmen al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
76,Puerto del Carmen s registrar como,"[<'co':cV>, <'mo':cV>]"
77,Puerto del Carmen interior del clima,"[<'cli':ccv>, <'ma':cV>]"
78,Puerto del Carmen clima de modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
79,Puerto del Carmen biente de la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
80,Puerto del Carmen compensario que están,"[<'es':Vs>, <'tán':cVc>]"
81,Puerto del Carmen que están en el medio,"[<'me':cV>, <'dio':cvV>]"
82,Puerto del Carmen a la converioncia,"[<'con':cVc>, <'ve':cV>, <'rion':cvVc>, <'cia':cvV>]"
83,Puerto del Carmen de las inversiones,"[<'in':vc>, <'ver':cVc>, <'sio':svV>, <'nes':cVs>]"
84,Puerto del Carmen e en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
85,Puerto del Carmen de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
86,Puerto del Carmen o de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
87,Puerto del Carmen la población están,"[<'es':Vs>, <'tán':cVc>]"
88,Puerto del Carmen disculpa en la lado,"[<'la':cV>, <'do':cV>]"
89,Puerto del Carmen de los medios de este,"[<'es':Vs>, <'te':cV>]"
90,Puerto del Carmen n establecida,"[<'es':Vs>, <'ta':cV>, <'ble':ccV>, <'ci':cv>, <'da':cV>]"
91,Puerto del Carmen de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
