,verse,terminacion
0,Geelong producto en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
1,Geelong contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Geelong carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Geelong en el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
4,Geelong su propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
5,Geelong el mar se desarrolla,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'lla':ccV>]"
6,Geelong parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
7,Geelong alto de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
8,Geelong problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
9,Geelong estado a los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
10,Geelong como la propia como,"[<'co':cV>, <'mo':cV>]"
11,Geelong como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
12,Geelong contra la propia contra,"[<'con':cVc>, <'tra':ccV>]"
13,Geelong el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Geelong el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
15,Geelong contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Geelong la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
17,Geelong contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Geelong se producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
19,Geelong el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
20,Geelong cambio climático está,"[<'es':Vs>, <'tá':cV>]"
21,Geelong climático está contra,"[<'con':cVc>, <'tra':ccV>]"
22,Geelong contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
23,Geelong contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
24,Geelong menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
25,Geelong sobre la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
26,Geelong ser en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
27,Geelong permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
28,Geelong contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
29,Geelong estado contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Geelong el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Geelong problema de la comprar,"[<'com':cVc>, <'prar':ccVc>]"
32,Geelong el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
33,Geelong estado en el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
34,Geelong contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
35,Geelong la cual con la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,Geelong la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
37,Geelong estado en la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
38,Geelong permitan para el cambio,"[<'cam':cVc>, <'bio':cvV>]"
39,Geelong de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
40,Geelong el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
41,Geelong sobre la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
42,Geelong sobre la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
43,Geelong producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
44,Geelong de la compra de cambio,"[<'cam':cVc>, <'bio':cvV>]"
45,Geelong permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
46,Geelong propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
47,Geelong producto de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
48,Geelong las contrabulidades,"[<'con':cVc>, <'tra':ccV>, <'bu':cv>, <'li':cv>, <'da':cV>, <'des':cVs>]"
49,Geelong es de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
50,Geelong parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
51,Geelong climático es la propia,"[<'pro':ccV>, <'pia':cvV>]"
52,Geelong la propia contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
53,Geelong en el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
54,Geelong estado se producir,"[<'pro':ccV>, <'du':cv>, <'cir':cvc>]"
55,Geelong el contrado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
56,Geelong contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
57,Geelong medio de la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
58,Geelong la contra el combustible,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'ble':ccV>]"
59,Geelong es proceso de cambio,"[<'cam':cVc>, <'bio':cvV>]"
60,Geelong la mayor actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
61,Geelong permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
62,Geelong a la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
63,Geelong de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
64,Geelong parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
65,Geelong de las contribuciones,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'cio':cvV>, <'nes':cVs>]"
66,Geelong capa de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
67,Geelong la propia compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
68,Geelong compromiso de contra,"[<'con':cVc>, <'tra':ccV>]"
69,Geelong contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
70,Geelong el mar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
71,Geelong producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
72,Geelong de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
73,Geelong contra la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
74,Geelong contrar la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
75,Geelong la largo de la propia,"[<'pro':ccV>, <'pia':cvV>]"
76,Geelong mayor posibilidad,"[<'po':cV>, <'si':sv>, <'bi':cv>, <'li':cv>, <'dad':cVc>]"
77,Geelong el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
78,Geelong e de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
79,Geelong estado a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
