,verse,terminacion
0,Playa del Ingles de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
1,Playa del Ingles la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Playa del Ingles las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
3,Playa del Ingles países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
4,Playa del Ingles de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
5,Playa del Ingles marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Playa del Ingles de la electricidad,"[<'e':V>, <'lec':cVc>, <'tri':ccv>, <'ci':cv>, <'dad':cVc>]"
7,Playa del Ingles de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
8,Playa del Ingles la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
9,Playa del Ingles un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
10,Playa del Ingles la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
11,Playa del Ingles de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
12,Playa del Ingles la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
13,Playa del Ingles nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
14,Playa del Ingles de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
15,Playa del Ingles base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
16,Playa del Ingles de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Playa del Ingles mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Playa del Ingles de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Playa del Ingles de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
20,Playa del Ingles para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
21,Playa del Ingles el mercado pero,"[<'pe':cV>, <'ro':cV>]"
22,Playa del Ingles de la comporación,"[<'com':cVc>, <'po':cV>, <'ra':cV>, <'ción':cvVc>]"
23,Playa del Ingles la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
24,Playa del Ingles de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
25,Playa del Ingles de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
26,Playa del Ingles la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
27,Playa del Ingles la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Playa del Ingles que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
29,Playa del Ingles estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
30,Playa del Ingles cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
31,Playa del Ingles países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
32,Playa del Ingles un convenio sobre,"[<'so':sV>, <'bre':ccV>]"
33,Playa del Ingles el proyecto sobre,"[<'so':sV>, <'bre':ccV>]"
34,Playa del Ingles de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
35,Playa del Ingles periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
36,Playa del Ingles medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
37,Playa del Ingles la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
