,verse,terminacion
0,Palmerston North ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Palmerston North la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Palmerston North de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
3,Palmerston North de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
4,Palmerston North esto es la respuesta,"[<'res':cVs>, <'pues':cvVs>, <'ta':cV>]"
5,Palmerston North países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
6,Palmerston North contigo en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
7,Palmerston North en los eficientes,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'tes':cVs>]"
8,Palmerston North de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
9,Palmerston North marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
10,Palmerston North los composiciones,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'cio':cvV>, <'nes':cVs>]"
11,Palmerston North as en el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
12,Palmerston North en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
13,Palmerston North de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
14,Palmerston North en un forzamiento,"[<'for':cVc>, <'za':cV>, <'mien':cvVc>, <'to':cV>]"
15,Palmerston North de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
16,Palmerston North la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
17,Palmerston North s de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
18,Palmerston North en el escenario,"[<'es':Vs>, <'ce':cV>, <'na':cV>, <'rio':cvV>]"
19,Palmerston North de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
20,Palmerston North la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
21,Palmerston North el calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
22,Palmerston North nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
23,Palmerston North de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
24,Palmerston North para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
25,Palmerston North el mercado pero,"[<'pe':cV>, <'ro':cV>]"
26,Palmerston North gustos de la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
27,Palmerston North la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
28,Palmerston North al de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
29,Palmerston North de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
30,Palmerston North la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
31,Palmerston North la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
32,Palmerston North a través de enfrentir,"[<'en':Vc>, <'fren':ccVc>, <'tir':cvc>]"
33,Palmerston North que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
34,Palmerston North ente se desalian,"[<'de':cV>, <'sa':sV>, <'lian':cvVc>]"
35,Palmerston North cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
36,Palmerston North s es un convenio,"[<'con':cVc>, <'ve':cV>, <'nio':cvV>]"
37,Palmerston North de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
38,Palmerston North medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
39,Palmerston North la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,Palmerston North del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
41,Palmerston North la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Palmerston North es a la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
43,Palmerston North de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
44,Palmerston North de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
45,Palmerston North al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
46,Palmerston North los actividades,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'da':cV>, <'des':cVs>]"
47,Palmerston North para que se poner,"[<'po':cV>, <'ner':cVc>]"
48,Palmerston North la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
49,Palmerston North de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
50,Palmerston North de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
51,Palmerston North las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
52,Palmerston North lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
53,Palmerston North a la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
54,Palmerston North entre la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
55,Palmerston North de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
56,Palmerston North que se pode para,"[<'pa':cV>, <'ra':cV>]"
57,Palmerston North de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
58,Palmerston North la forma de casa,"[<'ca':cV>, <'sa':sV>]"
59,Palmerston North de gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
60,Palmerston North desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
61,Palmerston North casa de la mayor,"[<'ma':cV>, <'yor':cVc>]"
62,Palmerston North en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
63,Palmerston North de las principales,"[<'prin':ccvc>, <'ci':cv>, <'pa':cV>, <'les':cVs>]"
64,Palmerston North del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
65,Palmerston North mar de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
66,Palmerston North y las oficinas,"[<'o':V>, <'fi':cv>, <'ci':cv>, <'nas':cVs>]"
67,Palmerston North de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
68,Palmerston North de esta incentidumbre,"[<'in':vc>, <'cen':cVc>, <'ti':cv>, <'dum':cvc>, <'bre':ccV>]"
69,Palmerston North a por consumidor,"[<'con':cVc>, <'su':sv>, <'mi':cv>, <'dor':cVc>]"
70,Palmerston North para estados para,"[<'pa':cV>, <'ra':cV>]"
71,Palmerston North de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
72,Palmerston North s son los proyectos,"[<'pro':ccV>, <'yec':cVc>, <'tos':cVs>]"
73,Palmerston North se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
74,Palmerston North de la contratuira,"[<'con':cVc>, <'tra':ccV>, <'tui':cvv>, <'ra':cV>]"
75,Palmerston North al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
76,Palmerston North s registrar como,"[<'co':cV>, <'mo':cV>]"
77,Palmerston North interior del clima,"[<'cli':ccv>, <'ma':cV>]"
78,Palmerston North clima de modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
79,Palmerston North biente de la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
80,Palmerston North compensario que están,"[<'es':Vs>, <'tán':cVc>]"
81,Palmerston North que están en el medio,"[<'me':cV>, <'dio':cvV>]"
82,Palmerston North a la converioncia,"[<'con':cVc>, <'ve':cV>, <'rion':cvVc>, <'cia':cvV>]"
83,Palmerston North de las inversiones,"[<'in':vc>, <'ver':cVc>, <'sio':svV>, <'nes':cVs>]"
84,Palmerston North e en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
85,Palmerston North de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
86,Palmerston North o de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
87,Palmerston North la población están,"[<'es':Vs>, <'tán':cVc>]"
88,Palmerston North disculpa en la lado,"[<'la':cV>, <'do':cV>]"
89,Palmerston North de los medios de este,"[<'es':Vs>, <'te':cV>]"
90,Palmerston North n establecida,"[<'es':Vs>, <'ta':cV>, <'ble':ccV>, <'ci':cv>, <'da':cV>]"
91,Palmerston North de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
92,Palmerston North de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
93,Palmerston North ente en la recisión,"[<'re':cV>, <'ci':cv>, <'sión':svVc>]"
94,Palmerston North puedo estar la salud,"[<'sa':sV>, <'lud':cvc>]"
95,Palmerston North estado por algo,"[<'al':Vc>, <'go':cV>]"
96,Palmerston North de mantenida entre,"[<'en':Vc>, <'tre':ccV>]"
97,Palmerston North pueden el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
98,Palmerston North mercado que el amor,"[<'a':V>, <'mor':cVc>]"
99,Palmerston North que el amor de viento,"[<'vien':cvVc>, <'to':cV>]"
100,Palmerston North de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
101,Palmerston North de gei no establecer,"[<'es':Vs>, <'ta':cV>, <'ble':ccV>, <'cer':cVc>]"
102,Palmerston North o consideración,"[<'con':cVc>, <'si':sv>, <'de':cV>, <'ra':cV>, <'ción':cvVc>]"
103,Palmerston North las países para,"[<'pa':cV>, <'ra':cV>]"
104,Palmerston North en la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
