,endecasílabo
0,Ouagadougou producto en el proyecto
1,Ouagadougou el proyecto de la tierra
2,Ouagadougou contra la compromisa
3,Ouagadougou carbono a la producción
4,Ouagadougou su propia de la propia
5,Ouagadougou parte de la producción
6,Ouagadougou el mar de la consecuencia
7,Ouagadougou problema de reducir
8,Ouagadougou como la propia como
9,Ouagadougou como la contra el cambio
10,Ouagadougou contra la propia contra
11,Ouagadougou contra la compromisa
12,Ouagadougou la salud de la contrar
13,Ouagadougou el sistema climático
14,Ouagadougou contra las emisiones
15,Ouagadougou emisiones de carbono
16,Ouagadougou se producir el cambio
17,Ouagadougou cambio climático está
18,Ouagadougou climático está contra
19,Ouagadougou contrar la concentración
20,Ouagadougou contra la compromisa
21,Ouagadougou menos de la comprensión
22,Ouagadougou sobre la compromisa
23,Ouagadougou ser en la compromiso
24,Ouagadougou permitado en la propia
25,Ouagadougou contra las emisiones
26,Ouagadougou emisiones de carbono
27,Ouagadougou el cambio climático esta
28,Ouagadougou problema de la comprar
29,Ouagadougou en el contrado en el cambio
30,Ouagadougou el proceso de la propia
31,Ouagadougou contrar con la estrategia
32,Ouagadougou la cual con la producción
33,Ouagadougou la propia climática
34,Ouagadougou permitan para el cambio
35,Ouagadougou de carbono a la propia
36,Ouagadougou sobre la economía
37,Ouagadougou sobre la capacidad
38,Ouagadougou producción de la compra
39,Ouagadougou de la compra de cambio
40,Ouagadougou permitado en la propia
41,Ouagadougou propia de contra el cambio
42,Ouagadougou producto de la contrar
43,Ouagadougou las contrabulidades
44,Ouagadougou parte de la producción
45,Ouagadougou climático es la propia
46,Ouagadougou la propia contra el cambio
47,Ouagadougou contra la compromisa
48,Ouagadougou medio de la demanda
49,Ouagadougou la contra el combustible
50,Ouagadougou la mayor actividad
51,Ouagadougou permitado en la propia
52,Ouagadougou de la temperatura
53,Ouagadougou parte de la producción
54,Ouagadougou de las contribuciones
55,Ouagadougou capa de compromiso
56,Ouagadougou la propia compromiso
57,Ouagadougou compromiso de contra
58,Ouagadougou contra la compromisa
59,Ouagadougou producción de la compra
60,Ouagadougou de carbono a la propia
61,Ouagadougou a la propia de carbono
62,Ouagadougou contra la concentración
63,Ouagadougou contrar la compromisa
64,Ouagadougou la largo de la propia
65,Ouagadougou mayor posibilidad
66,Ouagadougou promedio de la compra
67,Ouagadougou de la temperatura
68,Ouagadougou ser de la concentración
69,Ouagadougou climático es un cambio
70,Ouagadougou contra la compromisa
71,Ouagadougou contrado de carbono
72,Ouagadougou producirá en la propia
73,Ouagadougou la energía en la propia
74,Ouagadougou el mar y la contra el cambio
75,Ouagadougou energía necesaria
76,Ouagadougou la capa de la compra
77,Ouagadougou la cual es el sistema
78,Ouagadougou energía contra el cambio
79,Ouagadougou esta mayor producida
80,Ouagadougou mar en la compromisa
81,Ouagadougou contra la compromisa
82,Ouagadougou propia de los procesos
83,Ouagadougou de la temperatura
84,Ouagadougou en el cambio climático
85,Ouagadougou de la compra de cambio
86,Ouagadougou cambio climático esta
87,Ouagadougou contra la compromisa
88,Ouagadougou de la temperatura
89,Ouagadougou permitado en la propia
90,Ouagadougou contra las emisiones
91,Ouagadougou una vez más de la contrar
92,Ouagadougou la propia contra el cambio
93,Ouagadougou menos de contra el cambio
94,Ouagadougou permitado en la cumbre
95,Ouagadougou la compra de consumo
96,Ouagadougou compromisa de cambio
97,Ouagadougou de cambio climático
98,Ouagadougou contra la compromiso
99,Ouagadougou marco de la secuedad
100,Ouagadougou contra la compromisa
101,Ouagadougou estado de la comprensión
102,Ouagadougou desarrollar la estada
103,Ouagadougou contra la compromisa
104,Ouagadougou mantenimiento sobre
105,Ouagadougou compromiso de todo
106,Ouagadougou todo la contra el cambio
107,Ouagadougou de la temperatura
108,Ouagadougou comprensión de la compra
109,Ouagadougou producción de la compra
110,Ouagadougou entre el cambio climático
111,Ouagadougou compromiso de contra
112,Ouagadougou parte de los países
