,verse,terminacion
0,Câmara de Lobos ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Câmara de Lobos la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Câmara de Lobos de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
3,Câmara de Lobos de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
4,Câmara de Lobos esto es la respuesta,"[<'res':cVs>, <'pues':cvVs>, <'ta':cV>]"
5,Câmara de Lobos países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
6,Câmara de Lobos contigo en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
7,Câmara de Lobos en los eficientes,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'tes':cVs>]"
8,Câmara de Lobos de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
9,Câmara de Lobos marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
10,Câmara de Lobos los composiciones,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'cio':cvV>, <'nes':cVs>]"
11,Câmara de Lobos as en el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
12,Câmara de Lobos en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
13,Câmara de Lobos de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
14,Câmara de Lobos en un forzamiento,"[<'for':cVc>, <'za':cV>, <'mien':cvVc>, <'to':cV>]"
15,Câmara de Lobos de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
16,Câmara de Lobos la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
17,Câmara de Lobos s de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
18,Câmara de Lobos en el escenario,"[<'es':Vs>, <'ce':cV>, <'na':cV>, <'rio':cvV>]"
19,Câmara de Lobos de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
20,Câmara de Lobos la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
21,Câmara de Lobos el calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
22,Câmara de Lobos nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
23,Câmara de Lobos de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
24,Câmara de Lobos para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
25,Câmara de Lobos el mercado pero,"[<'pe':cV>, <'ro':cV>]"
26,Câmara de Lobos gustos de la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
27,Câmara de Lobos la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
28,Câmara de Lobos al de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
29,Câmara de Lobos de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
30,Câmara de Lobos la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
31,Câmara de Lobos la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
32,Câmara de Lobos a través de enfrentir,"[<'en':Vc>, <'fren':ccVc>, <'tir':cvc>]"
33,Câmara de Lobos que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
34,Câmara de Lobos ente se desalian,"[<'de':cV>, <'sa':sV>, <'lian':cvVc>]"
35,Câmara de Lobos cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
36,Câmara de Lobos s es un convenio,"[<'con':cVc>, <'ve':cV>, <'nio':cvV>]"
37,Câmara de Lobos de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
38,Câmara de Lobos medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
39,Câmara de Lobos la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,Câmara de Lobos del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
41,Câmara de Lobos la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Câmara de Lobos es a la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
43,Câmara de Lobos de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
44,Câmara de Lobos de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
45,Câmara de Lobos al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
46,Câmara de Lobos los actividades,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'da':cV>, <'des':cVs>]"
47,Câmara de Lobos para que se poner,"[<'po':cV>, <'ner':cVc>]"
48,Câmara de Lobos la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
49,Câmara de Lobos de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
50,Câmara de Lobos de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
51,Câmara de Lobos las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
52,Câmara de Lobos lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
53,Câmara de Lobos a la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
54,Câmara de Lobos entre la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
55,Câmara de Lobos de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
56,Câmara de Lobos que se pode para,"[<'pa':cV>, <'ra':cV>]"
57,Câmara de Lobos de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
58,Câmara de Lobos la forma de casa,"[<'ca':cV>, <'sa':sV>]"
