,verse,terminacion
0,Werribee producto en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
1,Werribee el proyecto de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
2,Werribee contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
3,Werribee carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
4,Werribee su propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
5,Werribee parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
6,Werribee el mar de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
7,Werribee problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
8,Werribee como la propia como,"[<'co':cV>, <'mo':cV>]"
9,Werribee como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
10,Werribee contra la propia contra,"[<'con':cVc>, <'tra':ccV>]"
11,Werribee contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
12,Werribee la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
13,Werribee el sistema climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Werribee contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
15,Werribee emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
16,Werribee se producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
17,Werribee cambio climático está,"[<'es':Vs>, <'tá':cV>]"
18,Werribee climático está contra,"[<'con':cVc>, <'tra':ccV>]"
19,Werribee contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
20,Werribee contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
21,Werribee menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
22,Werribee sobre la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
23,Werribee ser en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
24,Werribee permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
