,verse,terminacion
0,Werribee proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Werribee aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Werribee de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Werribee los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
4,Werribee los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Werribee la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
6,Werribee nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
7,Werribee amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Werribee el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
9,Werribee un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
10,Werribee márido de la carta,"[<'car':cVc>, <'ta':cV>]"
11,Werribee un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
12,Werribee de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
13,Werribee consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
14,Werribee en la segunda cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Werribee de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
16,Werribee calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Werribee las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Werribee la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
19,Werribee la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
20,Werribee te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
21,Werribee actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Werribee de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Werribee ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
24,Werribee el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
25,Werribee de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
26,Werribee compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
27,Werribee carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
