,verse,terminacion
0,Point Cook proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Point Cook en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Point Cook de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Point Cook ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Point Cook los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Point Cook los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Point Cook la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Point Cook as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Point Cook nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Point Cook márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Point Cook es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Point Cook de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Point Cook consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Point Cook de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Point Cook calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Point Cook las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Point Cook la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Point Cook la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Point Cook te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Point Cook de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
20,Point Cook ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
21,Point Cook es el mercado pero,"[<'pe':cV>, <'ro':cV>]"
22,Point Cook de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
23,Point Cook es de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
24,Point Cook compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
25,Point Cook carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
26,Point Cook e la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
27,Point Cook en la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Point Cook re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Point Cook el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
30,Point Cook considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
31,Point Cook lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Point Cook el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
33,Point Cook de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Point Cook en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
35,Point Cook de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
36,Point Cook los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
37,Point Cook los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
38,Point Cook calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
39,Point Cook e medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
40,Point Cook permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
41,Point Cook de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Point Cook contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
43,Point Cook de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
44,Point Cook los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
45,Point Cook io de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
46,Point Cook timo en la sopirticad,"[<'so':sV>, <'pir':cvc>, <'ti':cv>, <'cad':cVc>]"
47,Point Cook general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
48,Point Cook se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
49,Point Cook umbre al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
50,Point Cook ado de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
51,Point Cook en la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
52,Point Cook de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
53,Point Cook s de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
54,Point Cook n las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
55,Point Cook la lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
56,Point Cook el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
57,Point Cook ente a la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
58,Point Cook de las temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
59,Point Cook ición de su procisa,"[<'pro':ccV>, <'ci':cv>, <'sa':sV>]"
60,Point Cook por la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
61,Point Cook e que se pode para,"[<'pa':cV>, <'ra':cV>]"
62,Point Cook a un forzamiento también,"[<'tam':cVc>, <'bién':cvVc>]"
63,Point Cook de la forma de casa,"[<'ca':cV>, <'sa':sV>]"
64,Point Cook consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
65,Point Cook de emisiones de gases,"[<'ga':cV>, <'ses':sVs>]"
66,Point Cook se desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
