,verse,terminacion
0,Saint-André producto en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
1,Saint-André el proyecto de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
2,Saint-André contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
3,Saint-André carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
4,Saint-André su propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
5,Saint-André parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
6,Saint-André el mar de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
7,Saint-André problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
8,Saint-André como la propia como,"[<'co':cV>, <'mo':cV>]"
9,Saint-André como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
10,Saint-André contra la propia contra,"[<'con':cVc>, <'tra':ccV>]"
11,Saint-André contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
12,Saint-André la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
13,Saint-André el sistema climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Saint-André contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
15,Saint-André emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
16,Saint-André se producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
17,Saint-André cambio climático está,"[<'es':Vs>, <'tá':cV>]"
18,Saint-André climático está contra,"[<'con':cVc>, <'tra':ccV>]"
19,Saint-André contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
20,Saint-André contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
21,Saint-André menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
22,Saint-André sobre la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
23,Saint-André ser en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
24,Saint-André permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
25,Saint-André contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
26,Saint-André emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
27,Saint-André el cambio climático esta,"[<'es':Vs>, <'ta':cV>]"
28,Saint-André problema de la comprar,"[<'com':cVc>, <'prar':ccVc>]"
29,Saint-André en el contrado en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Saint-André el proceso de la propia,"[<'pro':ccV>, <'pia':cvV>]"
31,Saint-André contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
32,Saint-André la cual con la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
33,Saint-André la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
34,Saint-André permitan para el cambio,"[<'cam':cVc>, <'bio':cvV>]"
35,Saint-André de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
36,Saint-André sobre la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
37,Saint-André sobre la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
38,Saint-André producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
39,Saint-André de la compra de cambio,"[<'cam':cVc>, <'bio':cvV>]"
40,Saint-André permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
41,Saint-André propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
42,Saint-André producto de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
43,Saint-André las contrabulidades,"[<'con':cVc>, <'tra':ccV>, <'bu':cv>, <'li':cv>, <'da':cV>, <'des':cVs>]"
44,Saint-André parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
45,Saint-André climático es la propia,"[<'pro':ccV>, <'pia':cvV>]"
46,Saint-André la propia contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
47,Saint-André contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
48,Saint-André medio de la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
49,Saint-André la contra el combustible,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'ble':ccV>]"
50,Saint-André la mayor actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
51,Saint-André permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
52,Saint-André de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
53,Saint-André parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
54,Saint-André de las contribuciones,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'cio':cvV>, <'nes':cVs>]"
55,Saint-André capa de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
56,Saint-André la propia compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
57,Saint-André compromiso de contra,"[<'con':cVc>, <'tra':ccV>]"
58,Saint-André contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
59,Saint-André producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
60,Saint-André de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
61,Saint-André a la propia de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
62,Saint-André contra la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
63,Saint-André contrar la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
64,Saint-André la largo de la propia,"[<'pro':ccV>, <'pia':cvV>]"
65,Saint-André mayor posibilidad,"[<'po':cV>, <'si':sv>, <'bi':cv>, <'li':cv>, <'dad':cVc>]"
66,Saint-André promedio de la compra,"[<'com':cVc>, <'pra':ccV>]"
67,Saint-André de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
68,Saint-André ser de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
69,Saint-André climático es un cambio,"[<'cam':cVc>, <'bio':cvV>]"
