,verse,terminacion
0,Quatre Bornes proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Quatre Bornes en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Quatre Bornes de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Quatre Bornes ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Quatre Bornes los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Quatre Bornes los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Quatre Bornes la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Quatre Bornes as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Quatre Bornes nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Quatre Bornes márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Quatre Bornes es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Quatre Bornes de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Quatre Bornes consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Quatre Bornes de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Quatre Bornes calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Quatre Bornes las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Quatre Bornes la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Quatre Bornes la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Quatre Bornes te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Quatre Bornes de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
20,Quatre Bornes ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
21,Quatre Bornes es el mercado pero,"[<'pe':cV>, <'ro':cV>]"
22,Quatre Bornes de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
23,Quatre Bornes es de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
24,Quatre Bornes compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
25,Quatre Bornes carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
26,Quatre Bornes e la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
27,Quatre Bornes en la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Quatre Bornes re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Quatre Bornes el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
30,Quatre Bornes considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
31,Quatre Bornes lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Quatre Bornes el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
33,Quatre Bornes de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Quatre Bornes en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
35,Quatre Bornes de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
36,Quatre Bornes los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
37,Quatre Bornes los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
38,Quatre Bornes calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
39,Quatre Bornes e medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
40,Quatre Bornes permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
41,Quatre Bornes de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Quatre Bornes contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
43,Quatre Bornes de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
44,Quatre Bornes los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
45,Quatre Bornes io de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
46,Quatre Bornes timo en la sopirticad,"[<'so':sV>, <'pir':cvc>, <'ti':cv>, <'cad':cVc>]"
