,verse,terminacion
0,Camayenne proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Camayenne aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Camayenne de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Camayenne los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
4,Camayenne los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Camayenne la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
6,Camayenne nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
7,Camayenne amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Camayenne el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
9,Camayenne un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
10,Camayenne márido de la carta,"[<'car':cVc>, <'ta':cV>]"
11,Camayenne un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
12,Camayenne de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
13,Camayenne consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
14,Camayenne en la segunda cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Camayenne de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
16,Camayenne calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Camayenne las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Camayenne la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
19,Camayenne la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
20,Camayenne te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
21,Camayenne actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Camayenne de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Camayenne ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
24,Camayenne el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
25,Camayenne de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
26,Camayenne compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
